最近はまっていることなどはありますか？	朝ドラでしょうか。
恥ずかしいのですが、語学はさっぱりで。センター英語以来英語には触れられていません。海外にもいかれることがあるのですか？	そうでしたか。海外は子供の頃に少し住んでいたのと、大人になってからハワイ、韓国に行ったくらいです。あまり英語使わないところばかりでしたね。
そうでしたか。海外は子供の頃に少し住んでいたのと、大人になってからハワイ、韓国に行ったくらいです。あまり英語使わないところばかりでしたね。	子供の頃に海外に住まわれていたなんてすごいですね！今どこか行ってみたい国はありますか？
子供の頃に海外に住まわれていたなんてすごいですね！今どこか行ってみたい国はありますか？	父の仕事の都合なのでそれほど長くはないですが。行ってみたいのはヨーロッパですかね！なかなか遠くて行けないので。
父の仕事の都合なのでそれほど長くはないですが。行ってみたいのはヨーロッパですかね！なかなか遠くて行けないので。	ヨーロッパに行くとなると、長期休暇が必要になりますよね。私もヨーロッパに行ってみたいです。
ヨーロッパに行くとなると、長期休暇が必要になりますよね。私もヨーロッパに行ってみたいです。	そうですよね。休暇とお金が重要ですね。でもヨーロッパ行った人はみんな一度は行った方が良いというのですごく気になります。旅行はお好きですか？
そうですよね。休暇とお金が重要ですね。でもヨーロッパ行った人はみんな一度は行った方が良いというのですごく気になります。旅行はお好きですか？	出産前は海外もいくつか行ったのですが、出産後はなかなか。でも旅行は好きです。
出産前は海外もいくつか行ったのですが、出産後はなかなか。でも旅行は好きです。	そうなんですね、今まで行った中で良かったところってどこですか？
そうなんですね、今まで行った中で良かったところってどこですか？	トルコが印象に残っています。有名な気球にも乗れましたし、街並みも綺麗でした。
こんにちは。宜しくお願い致します。	こちらこそよろしくお願いいたします。今日はお休みですか？
こちらこそよろしくお願いいたします。今日はお休みですか？	今日はお休みでした。ぐんかんさんはお休みでしたか？
今日はお休みでした。ぐんかんさんはお休みでしたか？	私も休みでした。今日は遅くまで寝てしまい、気持ちよさ半分後悔半分ですね。
私も休みでした。今日は遅くまで寝てしまい、気持ちよさ半分後悔半分ですね。	たまにはしっかり寝る日も必要ですよね。スッキリ起きられましたか？
たまにはしっかり寝る日も必要ですよね。スッキリ起きられましたか？	10時間くらい寝たのでスッキリでした。ロングスリーパーなもので、最低8時間は寝ないとダメなんです。k1305sさんは普段どのくらい睡眠取られてますか？
10時間くらい寝たのでスッキリでした。ロングスリーパーなもので、最低8時間は寝ないとダメなんです。k1305sさんは普段どのくらい睡眠取られてますか？	スッキリ起きれてよかったですね。私も8時間以上寝れているのにいつもスッキリ起きれず困っています。
スッキリ起きれてよかったですね。私も8時間以上寝れているのにいつもスッキリ起きれず困っています。	私もどちらかというと寝覚めは悪い方なのでお気持ちわかります。前日お酒が入っていたり、寝つきが悪かったりすると、同じ時間寝てても翌日違いますよね。
私もどちらかというと寝覚めは悪い方なのでお気持ちわかります。前日お酒が入っていたり、寝つきが悪かったりすると、同じ時間寝てても翌日違いますよね。	そうなんですよね。長時間寝た割にスッキリ起きれないと時間を無駄にしたようで悔しいです。お酒好きなんですか？
そうなんですよね。長時間寝た割にスッキリ起きれないと時間を無駄にしたようで悔しいです。お酒好きなんですか？	お酒は毎晩は飲みませんが、嫌いではありません。ビール・ワイン・ウイスキーが好きです。お酒はお好きです？
お酒は毎晩は飲みませんが、嫌いではありません。ビール・ワイン・ウイスキーが好きです。お酒はお好きです？	私もお酒は好きで、大体飲めるかもしれません。焼酎、日本酒も好きですね。毎日は飲みませんが。
私もお酒は好きで、大体飲めるかもしれません。焼酎、日本酒も好きですね。毎日は飲みませんが。	九州にいた時があって焼酎を飲む機会が多かったのですが、焼酎は芋がダメで…何かおすすめありますか？
九州にいた時があって焼酎を飲む機会が多かったのですが、焼酎は芋がダメで…何かおすすめありますか？	九州にいた時があるんですね。芋はクセがありますもんね。米、麦だとスッキリして飲みやすいと思います。
九州にいた時があるんですね。芋はクセがありますもんね。米、麦だとスッキリして飲みやすいと思います。	麦ならカボスを絞って飲むと、結構飲みやすくて美味しいですよね。おつまみには何がおすすめですか？
麦ならカボスを絞って飲むと、結構飲みやすくて美味しいですよね。おつまみには何がおすすめですか？	カボスですか！美味しそうですね。今度やってみます。おつまみはエイヒレが好きでよくお酒と食べます。おつまみは何が好きですか？
カボスですか！美味しそうですね。今度やってみます。おつまみはエイヒレが好きでよくお酒と食べます。おつまみは何が好きですか？	ぜひ試してみてください。エイヒレおいしいですよね！私は鮭とば、貝ひも、ポテチ、チーズとかですかねえ…唐揚げとかも好きです。
ぜひ試してみてください。エイヒレおいしいですよね！私は鮭とば、貝ひも、ポテチ、チーズとかですかねえ…唐揚げとかも好きです。	いいですね！どれも私も好きです。しょっぱいものってお酒と合いますよね。
いいですね！どれも私も好きです。しょっぱいものってお酒と合いますよね。	合いますね！ウイスキーだと意外とチョコが合ったり…おつまみがなくなるとお酒、お酒がなくなるとおつまみとなって、エンドレスになります
合いますね！ウイスキーだと意外とチョコが合ったり…おつまみがなくなるとお酒、お酒がなくなるとおつまみとなって、エンドレスになります	ウィスキーだと意外にもチョコと合うんですね！確かに合いそうです。エンドレス、分かります。
宜しくお願い致します。今日はお休みでしたか？	はい！お休みでした。
はい！お休みでした。	どこか出掛けたりしましたか？
どこか出掛けたりしましたか？	はい、アウトドアついでに紅葉も見ました。
はい、アウトドアついでに紅葉も見ました。	紅葉狩り、いいですね。行きたい行きたいと思いつつ行けていません。しっかり紅葉していましたか？
紅葉狩り、いいですね。行きたい行きたいと思いつつ行けていません。しっかり紅葉していましたか？	かなり紅葉してました！先週、今週がピークって聞きました！
かなり紅葉してました！先週、今週がピークって聞きました！	見頃で見れて良かったですね！先週今週でピークだったのですね。寒くなかったですか？
見頃で見れて良かったですね！先週今週でピークだったのですね。寒くなかったですか？	関西なのですが、20℃位あって、あったかかったです。
関西なのですが、20℃位あって、あったかかったです。	20度ですか！お出かけの日が暖かくてよかったですね。こちらは朝から雨が降っていて、少し寒かったです。
20度ですか！お出かけの日が暖かくてよかったですね。こちらは朝から雨が降っていて、少し寒かったです。	そうなんですね。今週からさらに寒くなりそうですね。今日はお休みですか？
そうなんですね。今週からさらに寒くなりそうですね。今日はお休みですか？	今週は寒くなるのですね。寒いのは苦手なので辛いです。はい、お休みでした。
今週は寒くなるのですね。寒いのは苦手なので辛いです。はい、お休みでした。	どこか行かれましたか？
どこか行かれましたか？	子供と一緒に熱帯植物園に行ってきました。
子供と一緒に熱帯植物園に行ってきました。	熱帯植物園！かなり楽しそうな響きですね！普通の植物園と違うのですか？
熱帯植物園！かなり楽しそうな響きですね！普通の植物園と違うのですか？	温室になっていて熱帯地域の植物があります。バナナとかもありました。水槽もあるので熱帯魚や蟹などもいて楽しめますよ。
温室になっていて熱帯地域の植物があります。バナナとかもありました。水槽もあるので熱帯魚や蟹などもいて楽しめますよ。	わー！楽しそうですね！関東方面にあるんでしょうか？
わー！楽しそうですね！関東方面にあるんでしょうか？	関東にあります。規模は小さいですが子供には丁度いいです。関西だとお出かけスポットはどんなところがありますか？
関東にあります。規模は小さいですが子供には丁度いいです。関西だとお出かけスポットはどんなところがありますか？	そうなんですね！大きいサボテンとか好きなので気になりました。万博公園がおすすめです！
そうなんですね！大きいサボテンとか好きなので気になりました。万博公園がおすすめです！	万博公園はテレビでよく見ますが、訪れたことはまだないです。関西に旅行に行く際にはぜひ訪れてみたいです。
こんばんは。宜しくお願いいたします。	こんばんは、今日は少し暖かいですね
こんばんは、今日は少し暖かいですね	暖かい1日でしたね。どこかお出掛けしたりしましたか？
暖かい1日でしたね。どこかお出掛けしたりしましたか？	仕事で１日終わってしまいました、外を歩いたら気持ちよかっただろうと想像だけしていました
仕事で１日終わってしまいました、外を歩いたら気持ちよかっただろうと想像だけしていました	晴れ間も見えましたし、お散歩には丁度良い気温でしたね。お仕事はデスクワークですか？
晴れ間も見えましたし、お散歩には丁度良い気温でしたね。お仕事はデスクワークですか？	はい、経理などの事務です。テレワークが実現するまではもう少しかかりそうです
はい、経理などの事務です。テレワークが実現するまではもう少しかかりそうです	経理ですか。私は数学、パソコン系が苦手なので尊敬します。
経理ですか。私は数学、パソコン系が苦手なので尊敬します。	わたしも向いている方ではないと思うのですが、10年以上経験してだいぶ慣れてきました。
わたしも向いている方ではないと思うのですが、10年以上経験してだいぶ慣れてきました。	10年も経験されているのですね。10年間同じ職場ですか？
10年も経験されているのですね。10年間同じ職場ですか？	一度だけ転職しています。以前はプログラマー見習いをしていました。
一度だけ転職しています。以前はプログラマー見習いをしていました。	見習いとはいえ、プログラマーってすごいですね！転職のきっかけって何ですか？
見習いとはいえ、プログラマーってすごいですね！転職のきっかけって何ですか？	かなり過酷な労働環境で、将来を見据えたときに不安があったためです
かなり過酷な労働環境で、将来を見据えたときに不安があったためです	過酷な労働環境だったのですね。今の職場はどうやって探したのですか？転職サイトなどですか？
過酷な労働環境だったのですね。今の職場はどうやって探したのですか？転職サイトなどですか？	はい、転職サイトで見つけました。今は無料でエージェントに相談したりできるみたいですね
はい、転職サイトで見つけました。今は無料でエージェントに相談したりできるみたいですね	色んな転職サイトさんがありますよね。Aさんが相談された時には有料だったのですか？
色んな転職サイトさんがありますよね。Aさんが相談された時には有料だったのですか？	当時は、求人情報のみが掲載されているものが多く、相談は有料だったように記憶しています
当時は、求人情報のみが掲載されているものが多く、相談は有料だったように記憶しています	今とはまた違ったのですね。今では就職が決まればお祝い金などもらえるサイトもあるみたいですよね。
今とはまた違ったのですね。今では就職が決まればお祝い金などもらえるサイトもあるみたいですよね。	お詳しいですね。転職のご経験はおありですか？
お詳しいですね。転職のご経験はおありですか？	転職はまだ経験はしたことがないのですが、モニターで転職サイトを利用したことがあります。
こんにちは。宜しくお願いいたします。	こんにちは。よろしくお願いします。
こんにちは。よろしくお願いします。	今日はお休みですか？
今日はお休みですか？	はい。休みでのんびりしてました。
はい。休みでのんびりしてました。	寒くなってきましたし、お家でのんびりしたくなりますよね。
寒くなってきましたし、お家でのんびりしたくなりますよね。	昨日は寒くて、炬燵を用意しました。でも今日は２０度ぐらいあって、外を歩くと汗ばみました。
昨日は寒くて、炬燵を用意しました。でも今日は２０度ぐらいあって、外を歩くと汗ばみました。	確かに昨日は寒かったですが、今日は風があたたかいですね。炬燵があるの、うらやましいです。
確かに昨日は寒かったですが、今日は風があたたかいですね。炬燵があるの、うらやましいです。	今日は何をされてお過ごしでした？
今日は何をされてお過ごしでした？	子供と一緒に植物園に出かけていました。
子供と一緒に植物園に出かけていました。	それは、楽しかったでしょうね。自宅から近いのですか？
それは、楽しかったでしょうね。自宅から近いのですか？	割と近くにあって、自転車でも行ける距離です。
割と近くにあって、自転車でも行ける距離です。	手軽に遊べるところがあるって子育てにいいですね。私は子供を近くの動物園に自転車で連れてったことありました。
手軽に遊べるところがあるって子育てにいいですね。私は子供を近くの動物園に自転車で連れてったことありました。	動物園が近くにあるのいいですね。結構大きな動物園ですか？
動物園が近くにあるのいいですね。結構大きな動物園ですか？	小さいですよ。家畜園って言ってましたよ。
小さいですよ。家畜園って言ってましたよ。	小さくても子どもにはちょうどいいくらいだし喜びますよね。餌やりなどできるのですか？
小さくても子どもにはちょうどいいくらいだし喜びますよね。餌やりなどできるのですか？	確か、できたような気がします。子供には良いことですね。
確か、できたような気がします。子供には良いことですね。	動物との触れ合いって普段なかなかできないですもんね。ペットは飼っていますか？
動物との触れ合いって普段なかなかできないですもんね。ペットは飼っていますか？	いいえ。柴犬を飼いたいと思ってますが、決められません。
いいえ。柴犬を飼いたいと思ってますが、決められません。	柴犬可愛いですね。ペットを飼うとなると色々環境も整えないといけないですし大変ですよね。
柴犬可愛いですね。ペットを飼うとなると色々環境も整えないといけないですし大変ですよね。	ペット飼ってもいいかなって思われてるんですね？
ペット飼ってもいいかなって思われてるんですね？	子どもがいるのでペット飼育は色々勉強になるのではないかなと考えています。
こんにちは。宜しくお願い致します。お昼はもう食べましたか？	よろしくお願いします。はい、お昼食べました。
よろしくお願いします。はい、お昼食べました。	お昼は何を食べましたか？
お昼は何を食べましたか？	今日は簡単に済ませたくて、卵かけご飯にしました。
今日は簡単に済ませたくて、卵かけご飯にしました。	卵かけご飯だとささっと流し込めて美味しいですし、いいですよね。
卵かけご飯だとささっと流し込めて美味しいですし、いいですよね。	そうなんです。時間のない時のお助けメニューです。
そうなんです。時間のない時のお助けメニューです。	わたしも時間がない時は卵かけご飯や納豆ご飯を良く食べます。
わたしも時間がない時は卵かけご飯や納豆ご飯を良く食べます。	あなたは何を食べましたか？
あなたは何を食べましたか？	わたしも作るのが面倒で、惣菜パンを食べました。
わたしも作るのが面倒で、惣菜パンを食べました。	惣菜パンって種類が豊富で選ぶのも楽しいですよね。
惣菜パンって種類が豊富で選ぶのも楽しいですよね。	最近では本当いろんな種類のパンがありますよね。どんなパンが好きですか？
最近では本当いろんな種類のパンがありますよね。どんなパンが好きですか？	私は明太フランスが大好きです！
私は明太フランスが大好きです！	明太フランス、確かに美味しいですね。私はピザ系のパンが好きです。
明太フランス、確かに美味しいですね。私はピザ系のパンが好きです。	ピザパンも美味しいですよね。消費税率が上がったのでイートインコーナーでの食事が減りました。
ピザパンも美味しいですよね。消費税率が上がったのでイートインコーナーでの食事が減りました。	同じパンなのに食べる場所で値段が違うなんて不思議ですよね。確かにテイクアウトばかりするようになりました。
同じパンなのに食べる場所で値段が違うなんて不思議ですよね。確かにテイクアウトばかりするようになりました。	イートインコーナーがお店からなくなりそうですよね。
イートインコーナーがお店からなくなりそうですよね。	設置費用や維持費が無駄になりますよね。増税前に買いだめしましたか？
設置費用や維持費が無駄になりますよね。増税前に買いだめしましたか？	買いだめはあまりしませんでした。食料品は８％のままだし、日用品もなんだかんだでセールとかあるかなと思ったんです。
買いだめはあまりしませんでした。食料品は８％のままだし、日用品もなんだかんだでセールとかあるかなと思ったんです。	ティッシュなんかも増税後の方が安売りされたりしてましたもんね。私は買い溜めして後悔しました。
宜しくお願い致します。	よろしくお願いします。突然ですが、動物はお好きですか？
よろしくお願いします。突然ですが、動物はお好きですか？	はい、動物は好きです。kedamaさんは動物はお好きですか？
はい、動物は好きです。kedamaさんは動物はお好きですか？	大好きです。私は特に犬が好きですね。何の動物がお好きですか？
大好きです。私は特に犬が好きですね。何の動物がお好きですか？	犬、可愛いですよね。犬も好きですが猫も好きです。
犬、可愛いですよね。犬も好きですが猫も好きです。	私も猫も好きです。動画見たり、たまに猫カフェ行ったりします
私も猫も好きです。動画見たり、たまに猫カフェ行ったりします	猫カフェいいですね！一度だけ行ったことがあります。癒されますよね。
猫カフェいいですね！一度だけ行ったことがあります。癒されますよね。	時間があっという間に経ちますよね。でもおやつ持ってる時以外は基本無視されるので悲しいです、あはは
時間があっという間に経ちますよね。でもおやつ持ってる時以外は基本無視されるので悲しいです、あはは	猫は気まぐれですよね。そこも可愛いですが。何かペットは飼っていますか？
猫は気まぐれですよね。そこも可愛いですが。何かペットは飼っていますか？	今は飼ってないんですが、昔犬を飼っていました。シーズーです。ご存知ですか？
今は飼ってないんですが、昔犬を飼っていました。シーズーです。ご存知ですか？	シーズー知っています。友人が飼っていました。穏やかで可愛らしいイメージです。
シーズー知っています。友人が飼っていました。穏やかで可愛らしいイメージです。	そうなんですよ、気が優しくてとても穏やかです。動物は飼っていらっしゃいますか？
そうなんですよ、気が優しくてとても穏やかです。動物は飼っていらっしゃいますか？	私は今は飼っていませんが、実家で猫を飼っています。
私は今は飼っていませんが、実家で猫を飼っています。	猫との生活も憧れますねえ。ちなみに猫ちゃんの種類はなんですか？
猫との生活も憧れますねえ。ちなみに猫ちゃんの種類はなんですか？	帰省の時にしか会っていませんが、意外にも私を覚えていてくれ嬉しいです。拾い猫なので、雑種です。
帰省の時にしか会っていませんが、意外にも私を覚えていてくれ嬉しいです。拾い猫なので、雑種です。	拾い猫ですか、素敵な出会いですねえ。私もそうして猫と出会いたいものです
拾い猫ですか、素敵な出会いですねえ。私もそうして猫と出会いたいものです	拾い猫ですが、意外に人懐っこくて可愛いですよ。猫を飼える環境ではあるんですか？
拾い猫ですが、意外に人懐っこくて可愛いですよ。猫を飼える環境ではあるんですか？	一応ペット飼育可の物件なんです。人懐っこいのか、いいなあ。私は猫に冷たくされたことしかないもので、はは。
一応ペット飼育可の物件なんです。人懐っこいのか、いいなあ。私は猫に冷たくされたことしかないもので、はは。	そうなのですね。最初は冷たくても、飼っているうちに段々心許してくれるっていうのも素敵だと思います。
こんにちは。宜しくお願い致します。	こんにちは！よろしくお願いいたします！
こんにちは！よろしくお願いいたします！	今日は暖かい1日でしたね。どこかお出かけしたりされましたか？
今日は暖かい1日でしたね。どこかお出かけしたりされましたか？	今日は宅急便を出しに少しだけ出かけました。
今日は宅急便を出しに少しだけ出かけました。	お近くに宅配センターがあるのですか？
お近くに宅配センターがあるのですか？	はい、車で10分ほどのところにあります
はい、車で10分ほどのところにあります	持ち込みの方がお安くなるんでしたっけ？
持ち込みの方がお安くなるんでしたっけ？	そうですね、少し安くなるようです。母親に頼まれて乗せていきました
そうですね、少し安くなるようです。母親に頼まれて乗せていきました	私は配送はメルカリなどのフリマアプリで活用することが多いです。フリマアプリなどは利用されていますか？
私は配送はメルカリなどのフリマアプリで活用することが多いです。フリマアプリなどは利用されていますか？	そうなんですね。私はオークションを利用するほうが多いです
そうなんですね。私はオークションを利用するほうが多いです	ヤフオクなどですか？
ヤフオクなどですか？	はい、そうです。値段が上がるのが面白いですね。
はい、そうです。値段が上がるのが面白いですね。	出品者さん側ってことですか？
出品者さん側ってことですか？	はい、そうです！
はい、そうです！	オークションで出品したことはなかったです。大体希望額以上で売れますか？
オークションで出品したことはなかったです。大体希望額以上で売れますか？	そうですね、しかし売れ残ることもあるから良し悪しですよ。
そうですね、しかし売れ残ることもあるから良し悪しですよ。	フリマでもずっと売れ残っているものあります。オークションも手数料など引かれるのですか？
フリマでもずっと売れ残っているものあります。オークションも手数料など引かれるのですか？	はい、落札されると引かれます。あとはオプションを付けたりするとその分も引かれますね。
はい、落札されると引かれます。あとはオプションを付けたりするとその分も引かれますね。	オークションにも手数料があるのですね。オプションにはどんなものがありますか？
オークションにも手数料があるのですね。オプションにはどんなものがありますか？	太字にしたり、アイコンをつけたり、出品を目立たせるようなものですね。
太字にしたり、アイコンをつけたり、出品を目立たせるようなものですね。	なるほど、広告みたいな感じなんですね！そういうオプションがあること、知らなかったです。早いですがそろそろお時間ですね。
なるほど、広告みたいな感じなんですね！そういうオプションがあること、知らなかったです。早いですがそろそろお時間ですね。	あっというまでした！楽しかったです！ありがとうございました！
よろしくお願いします。	今日お昼ご飯はもう食べられましたか？
今日お昼ご飯はもう食べられましたか？	まだなんですよ。朝がちょっと遅かったものだから。もう食べましたか？
まだなんですよ。朝がちょっと遅かったものだから。もう食べましたか？	ご飯が余っていたので炒飯を作りました。何を食べる予定ですか？
ご飯が余っていたので炒飯を作りました。何を食べる予定ですか？	私はおにぎりにしようかなって思ってます。うちもご飯が余ってるみたいだから。
私はおにぎりにしようかなって思ってます。うちもご飯が余ってるみたいだから。	おにぎりいいですね。週末のお昼ご飯のメニューがマンネリ化していていつも悩みます。
おにぎりいいですね。週末のお昼ご飯のメニューがマンネリ化していていつも悩みます。	確かに。私もいつもなんかいいの無いかなと思いつつ同じようなのばかりになっちゃうんですよね。
確かに。私もいつもなんかいいの無いかなと思いつつ同じようなのばかりになっちゃうんですよね。	分かります。丼ものか、パスタか焼きそばか。自分も家族も飽きています。笑
分かります。丼ものか、パスタか焼きそばか。自分も家族も飽きています。笑	あぁ～～まるっきりおんなじ感じです。夕食のメニューはもう決まってますか？
あぁ～～まるっきりおんなじ感じです。夕食のメニューはもう決まってますか？	まだ決まっていないです。常に次なに作ろう？って感じですよね。もう夕食のメニュー決まっていますか？
まだ決まっていないです。常に次なに作ろう？って感じですよね。もう夕食のメニュー決まっていますか？	うちは、ついさっきご近所さんにじゃがいもを大量に頂いたので、それを使ってグラタンにしようかなって思ってます。
うちは、ついさっきご近所さんにじゃがいもを大量に頂いたので、それを使ってグラタンにしようかなって思ってます。	グラタンいいですね！寒いし温かいものだと嬉しいですよね。ご近所さんと仲がいいのですね。
グラタンいいですね！寒いし温かいものだと嬉しいですよね。ご近所さんと仲がいいのですね。	そうですね～。結構ご近所さんからのいただきものが多いです。この前は別の方に大量の大根をいただいたので、おでんにしたんですよ。
そうですね～。結構ご近所さんからのいただきものが多いです。この前は別の方に大量の大根をいただいたので、おでんにしたんですよ。	今お野菜の値段が高騰しているので、頂けるのはありがたいですね。おでんもいいですね。
今お野菜の値段が高騰しているので、頂けるのはありがたいですね。おでんもいいですね。	おでん、いいですよね！おでんの具は何がお好きですか？
おでん、いいですよね！おでんの具は何がお好きですか？	定番ですが大根が好きです。あとは牛すじも好きですね。mikaさんは好きな具材ありますか？
定番ですが大根が好きです。あとは牛すじも好きですね。mikaさんは好きな具材ありますか？	私も大根は好きですね。あとは、つみれと卵も好きです。牛すじは入れたことなかったです！
私も大根は好きですね。あとは、つみれと卵も好きです。牛すじは入れたことなかったです！	つみれ、卵私も好きです。牛すじは良い出汁が出て美味しいですよ。ちょっと高いので、たまにしか入れませんが。
こんにちは。宜しくお願いします。	よろしくお願いします。お昼はもう済みましたか？
よろしくお願いします。お昼はもう済みましたか？	先程まで病院に行っていたので、簡単にパンで済ませました。お昼はもう食べられましたか？
先程まで病院に行っていたので、簡単にパンで済ませました。お昼はもう食べられましたか？	まだです。でも適当に済ませちゃいます。
まだです。でも適当に済ませちゃいます。	お昼ご飯はなかなかしっかり食べられませんよね。今日はお仕事ですか？
お昼ご飯はなかなかしっかり食べられませんよね。今日はお仕事ですか？	はい、そうなんですよ。私は主婦なので、お仕事じゃないです。
はい、そうなんですよ。私は主婦なので、お仕事じゃないです。	そうなんですね。週末はどこかお出かけしましたか？
そうなんですね。週末はどこかお出かけしましたか？	週末はどこにも出かけませんでした。どこか行かれました？
週末はどこにも出かけませんでした。どこか行かれました？	雨も降りましたし出かけにくかったですよね。私は子どもと植物園に行きました。
雨も降りましたし出かけにくかったですよね。私は子どもと植物園に行きました。	植物園ですか…どんな展示植物がありましたか？
植物園ですか…どんな展示植物がありましたか？	植物園なのですが、小さな水族館もあって子供達はそちらばかり見ていました。熱帯魚や亀や蟹がいました。
植物園なのですが、小さな水族館もあって子供達はそちらばかり見ていました。熱帯魚や亀や蟹がいました。	いいでえすね、そうゆう複合施設は子育て世代にありがたい場所ですよね。私のうちの近くにも動物園と小さな遊園地がある所がありました。
いいでえすね、そうゆう複合施設は子育て世代にありがたい場所ですよね。私のうちの近くにも動物園と小さな遊園地がある所がありました。	子どもがいると毎週末行く場所に困りますよね。遊園地が近くにあるなんて羨ましいです！
子どもがいると毎週末行く場所に困りますよね。遊園地が近くにあるなんて羨ましいです！	行く所悩みますよね～。家はもう子供が小さくないので、だいぶ楽になりましたが、小さい頃はなんやかんやドタバタしてました。
行く所悩みますよね～。家はもう子供が小さくないので、だいぶ楽になりましたが、小さい頃はなんやかんやドタバタしてました。	子どもが大きくなるとやはり、楽になるのですね。うちはまだまだ小さいので毎日バタバタです。
子どもが大きくなるとやはり、楽になるのですね。うちはまだまだ小さいので毎日バタバタです。	小学校に上がるまでですね。がんばって下さい！
小学校に上がるまでですね。がんばって下さい！	小学校とかまだ想像できないです。自分の子よりも大きい子を育てているママさんはみんな凄いなあって思います。
こんにちは宜しくお願いいたします。	よろしくお願いします。
よろしくお願いします。	今日はお休みでしたか？
今日はお休みでしたか？	お休みでした。朝洗濯などして後はのんびりしていました。お休みですか？
お休みでした。朝洗濯などして後はのんびりしていました。お休みですか？	はい、お休みでした。ゆっくりする時間も大切ですよね。わたしもお休みでした。
はい、お休みでした。ゆっくりする時間も大切ですよね。わたしもお休みでした。	休みの日は主に何をされるんですか？
休みの日は主に何をされるんですか？	子どもがいるので子供と出かけることが多いです。もぷんさんは何をして過ごすことが多いですか？
子どもがいるので子供と出かけることが多いです。もぷんさんは何をして過ごすことが多いですか？	お子さんがいると大変ですね。私は一日中PCと向き合っています。食べログを見たり。
お子さんがいると大変ですね。私は一日中PCと向き合っています。食べログを見たり。	食べログ見ているだけでも面白いですよね。私も子供がいなければ一日中PCと向き合えるタイプだと思います。
食べログ見ているだけでも面白いですよね。私も子供がいなければ一日中PCと向き合えるタイプだと思います。	そうなんですね。それが辛いという人も多いみたいですね。好きな食べ物はなんですか？
そうなんですね。それが辛いという人も多いみたいですね。好きな食べ物はなんですか？	スマホ、PC、ずっと見ていられます。お肉が好きですね。好きな食べ物ありますか？
スマホ、PC、ずっと見ていられます。お肉が好きですね。好きな食べ物ありますか？	私もステーキとかハンバーグとか、肉系が好きです。コレストロールがやばいのでやめた方がいいのですが。
私もステーキとかハンバーグとか、肉系が好きです。コレストロールがやばいのでやめた方がいいのですが。	ステーキ、ハンバーグいいですね。健診で指摘されたのですか？
ステーキ、ハンバーグいいですね。健診で指摘されたのですか？	そうなんです。D判定・要精査でした。ショック。。
そうなんです。D判定・要精査でした。ショック。。	それはショックですね。でも好きな食べ物を我慢するのは辛いですよね。
それはショックですね。でも好きな食べ物を我慢するのは辛いですよね。	健診受けてますか？
健診受けてますか？	一応今年は受けましたが、元々不整脈があるので、心電図でひっかかりました。
一応今年は受けましたが、元々不整脈があるので、心電図でひっかかりました。	心臓は怖いですね。何か健康にいいことやってますか？
心臓は怖いですね。何か健康にいいことやってますか？	うーん。特に何もしていなくて。食生活も整っていません。何か気にしていることはありますか？
うーん。特に何もしていなくて。食生活も整っていません。何か気にしていることはありますか？	何か栄養をと思ってマルチビタミンを飲んでいます。が、コレステロールに効果はないでしょうね。
こんばんは、宜しくお願い致します。	こちらこそ宜しくお願いします。
こちらこそ宜しくお願いします。	今日は私が住んでいる地域では暖かい1日でした。yuuさんのお住まいの地域はお天気はどうでしたか？
今日は私が住んでいる地域では暖かい1日でした。yuuさんのお住まいの地域はお天気はどうでしたか？	寒いです。でも、まあそれでも例年よりは暖かいほうなんですが。
寒いです。でも、まあそれでも例年よりは暖かいほうなんですが。	そうなんですね。今年は例年より寒くなるのが遅めみたいですね。
そうなんですね。今年は例年より寒くなるのが遅めみたいですね。	ようやく地球温暖化が危惧さてつつありますね。
ようやく地球温暖化が危惧さてつつありますね。	最近は自然災害が多く心が傷むことばかりですね。自分が住んでいる地域も大雨が降ったら川の氾濫の心配などあります。
最近は自然災害が多く心が傷むことばかりですね。自分が住んでいる地域も大雨が降ったら川の氾濫の心配などあります。	そうですね、もう自然災害も他人事ではないですよね。
そうですね、もう自然災害も他人事ではないですよね。	そうですよね。すぐに避難できるように避難グッズなどを揃えておかねばとは思ってはいるのですが、なかなか揃えられていません。yuuさんは何か災害時のために備えていることはありますか？
そうですよね。すぐに避難できるように避難グッズなどを揃えておかねばとは思ってはいるのですが、なかなか揃えられていません。yuuさんは何か災害時のために備えていることはありますか？	お恥ずかしい話、まったく備えていません。食料もいつもギリギリしかおいてませんし。
お恥ずかしい話、まったく備えていません。食料もいつもギリギリしかおいてませんし。	分かります。食料も備えておいた方がいいのでしょうが、あるとついつい食べてしまう性分なので買い込めずにいます。きちんとした非常食ですとお値段も高いですもんね。
分かります。食料も備えておいた方がいいのでしょうが、あるとついつい食べてしまう性分なので買い込めずにいます。きちんとした非常食ですとお値段も高いですもんね。	片付けが苦手なので、無駄にものを置きたくない自分がいます。
片付けが苦手なので、無駄にものを置きたくない自分がいます。	わたしも片付けが苦手です。余計に物を置いておくと片付けも管理も難しいですよね。
わたしも片付けが苦手です。余計に物を置いておくと片付けも管理も難しいですよね。	そうですよね。ちなみに災害グッズってどんなものがあるんですか？
そうですよね。ちなみに災害グッズってどんなものがあるんですか？	わたしが用意しているのはものすごく簡単なものしかないです。防災マップや懐中電灯、電池、スマホバッテリーなど避難所で使うのに必要そうなものをリュックにひとまとめにしていますが、他の方の防災グッズを見るとまだまだ全然足りないなと思ってしまいます。
